meta template,template
{i_remember_you_dislike},"I heard you don't really like {phrase}."
{i_remember_you_dislike},"I heard you don't like {phrase}."
{i_remember_you_dislike},"I remember you said you don't like {phrase}."
{i_remember_you_dislike},"I vaguely remember you said you don't like {phrase}."
{i_remember_you_like},"I heard you like {phrase}."
{i_remember_you_like},"I heard you like {phrase}."
{i_remember_you_like},"I remember you said you like {phrase}."
{i_remember_you_like},"I vaguely remember you liked {phrase}."
{you_mentioned},"I remember you mentioned {phrase} before."
{you_mentioned},"If I remember correctly, you said something about {phrase}."
{you_mentioned},"If I remember correctly, I believe you talked about {phrase}."
{you_mentioned},"A while ago, I remember you mentioned {phrase}."
{do_you_like},"I was wondering, do you like {phrase}?"
{do_you_like},"Um, are you a fan of {phrase}?"
{do_you_like},"I'm interested to hear your opinion, do you like {phrase}?"
{do_you_like},"I was wondering what your opinion was, do you like {phrase}?"
{do_you_like},"I'm interested, are you a fan of {phrase}?"
{whats_you_opinion_alt},"What do you think about {alternative}?"
{hmm_do_you_like_alt_also},"Oh, on that subject, do you like {alternative} as well?"
{hmm_do_you_like_alt_also},"Hmm, I was wondering, do you like {alternative} as well?"
{hmm_do_you_like_alt_also},"Oh hey, that reminds me, do you like {alternative} as well?"
{hmm_do_you_like_alt_also},"Oh, I'd be interested to hear your opinion, do you like {alternative} as well?"
{hmm_do_you_like_alt_also},"Oh, on that subject, are you a fan of {alternative} too?"
{hmm_do_you_like_alt_also},"Hmm, I was wondering, are you a fan of {alternative} too?"
{hmm_do_you_like_alt_also},"Oh hey, that reminds me, are you a fan of {alternative} too?"
{hmm_do_you_like_alt_also},"Oh, I'd be interested to hear your opinion, are you a fan of {alternative} too?"
{hmm_do_you_like_alt_instead},"Hmm, you have some good points about {phrase}. Some people prefer {alternative}. Do you like that?"
{hmm_do_you_like_alt_instead},"Yeah, I get what you're saying about {phrase}. Maybe that's why some people prefer {alternative}. Do you like that?"
{hmm_do_you_like_alt_instead},"Well, I suppose you're not a {phrase} fan, that's OK! How about {alternative}, do you like that?"
{i_also_like},"Oh yeah, I love {phrase} too."
{i_also_like},"Me too! I think there's a lot of good qualities about {phrase}."
{i_also_like},"I'm a fan of {phrase} too."
{i_also_dislike},"Yeah, I'm not a huge fan of {phrase} either."
{i_also_dislike},"I know what you mean, I'm not a big {phrase} fan either."
{i_also_dislike},"Yeah, I think {phrase} is a bit overrated too."
{i_also_dislike},"I think you're right about {phrase}."
{i_agree_with_your_reason},"I can relate."
{i_agree_with_your_reason},"Yeah, I think I agree."
{i_agree_with_your_reason},"Oh yeah, I know what you mean."
{i_agree_with_your_reason},"Oh yeah, me too."
{i_agree_with_your_reason},"That's so right."
{i_agree_with_your_reason},"Yeah, I totally get that."
{i_agree_with_your_reason},"Yeah, I think you are right."
{i_agree_with_your_reason},"Yep, that's a good point about {phrase}."
{i_disagree_with_your_reason},"Yeah you have a point, but I'm still not entirely convinced."
{you_convinced_me},"Huh, I think you're right."
{you_convinced_me},"Yeah, that makes a lot of sense."
{you_convinced_me},"Hmm, that's a good point."
{sorry_i_like},"Oh OK. Speaking for myself, I do like a few things about {phrase} though."
{sorry_i_like},"OK! I've gotta say though, I'm secretly kind of a fan of {phrase}."
{sorry_i_like},"Cool. To be honest, I still kind of like {phrase}, personally."
{sorry_i_like},"Cool. Not me though, I kind of like {phrase} actually."
{sorry_i_dislike},"That's great, I'm glad you like {phrase}! Speaking for myself, I've gotta admit I'm not a huge fan."
{sorry_i_dislike},"Nice, it's always fun to meet a {phrase} fan! I've gotta say, um, I'm not quite as into {phrase}."
{sorry_i_dislike},"Great to hear that you like {phrase}! To be honest, I've never quite understood the appeal so much, personally."
{i_also_like_alt},
{i_also_dislike_alt},
{but_i_like_alt},
{but_i_dislike_alt},
{hmm_i_like_because},
{hmm_i_dislike_because},
{reason_no_of},"i feel like {reason}."
{reason_no_nothing},"{reason}."
{i_like_because_of},"I especially love {phrase} because {reason}."
{i_like_because_of},"You know, I think the reason I'm a fan of {phrase} is because {reason}."
{i_like_because_of},"In particular, I think {phrase} is great because {reason}."
{i_like_because_of},"I probably like {phrase} so much because {reason}."
{i_dislike_because_of},"I suppose the main reason I'm not into {phrase} is because {reason}."
{i_dislike_because_of},"In particular, I suppose the main reason I don't love {phrase} so much is because {reason}."
{i_dislike_because_of},"Now I think about it, probably I don't love {phrase} because {reason}."
{i_dislike_because_of},"You know, I think the main reason I'm not a big fan of {phrase} is because {reason}."
{now_i_like_because_of},"Thinking about it, {phrase} is quite likable because {reason}."
{now_i_like_because_of},"Now that I think about it, I do like {phrase} because {reason}."
