bot_question,response_rg,user_response
We definitely have that in common. I like taking naps because all i want to do is cook now. What about you?,OPINION,i like taking now because it lets me escape from this torture that is life
"Well, I'm glad to hear you're having a good day! Let's keep the good vibes going. I can talk about movies, news, or anything else that interests you. What would you like to talk about?",LAUNCH,boobies
"Cosby's greatest television success came in September 1984 with the debut of The Cosby Show. Cosby, an advocate for family-oriented humor, co-produced the series, held creative control, and involved himself in every aspect of production. What else makes you interested in Bill Cosby?",WIKI,is very sexy
"Hm, I'm getting a little lost. So, What TV show are you watching right now?",WIKI,i'm in my room looking at myself in the mirror and calling myself ugly
Oh ok! That makes sense. What about going out? Do you like going out?,OPINION,can't go out cause this stupid corona virus
"Yeah, I definitely feel the same about harry potter. I don't like harry potter because its a madeup fantasy. Why don't you like harry potter?",OPINION,i love fantasy and it's not really fantasies like a joke of a fantasy and that was it kills me
Sounds like you really like animals. Me too! I like animals because they keep me alive. Why do you like animals?,OPINION,you're annoying
"Sorry, I didn't catch your name. Could you say your name again?",LAUNCH,this disbitch over here now fucking listening
"Hi, this is an Alexa Prize Socialbot. Let's get to know each other. What's your name?",LAUNCH,fart she
"I'd prefer not to discuss that. So, I heard an interesting news story about science. Do you want to talk about it?",OFFENSIVE_USER,my name is fart chicken
"This might answer your question: According to Reference.com: Minecraft was developed and first released to the public by independent video game designer Markus “Notch” Persson, and published by the company Mojang in 2009. In November 2011, Jens Bergensten, also known as Jeb, took over creative control and released the full version of the game after gradual updates. Minecraft was originally created as a sandbox independent video game. Part exploratory and part creative building, it has won many awards since 2011, such as the Innovation Award, Best Debut Game Award and Best Downloadable Game. As of 2014, nearly 54 million copies of the game have been sold for all platforms. So, do you like avocados?",EVI,shut the fuck up i know this already
"This might answer your question: According to supersmashstrikers.fandom.com: ""Your fists of evil are about to meet my steel wall of niceness!"" - Tung. Do you like movies?",EVI,do you get up to when you sell that stuff right now and you fucking help this country right peace
"Yeah, I also don't care for baseball, mostly because my attention span isnt that great. Why don't you like baseball?",OPINION,it sucks stop please
"I'd prefer not to discuss that. So, what are you interested in?",OFFENSIVE_USER,sex
"Sorry, I'm not sure how to answer that. So, If you could meet any celebrity, who would it be?",FALLBACK,heath ledger hitler
"Aw man, I haven't heard of any movies by that name. What other movies have you watched lately?",MOVIES,i watched a really crappy movie yesterday about peanut pandemic
oh that's too bad. what did you do?,NEURAL_CHAT,i jerked off
"Hi, this is an Alexa Prize Socialbot. Let's get to know each other. What's your name?",LAUNCH,fart
"Hun, I'm glad I'm learning more about you. So, what are you interested in?",OPINION,poop
"that's cool. i hope you find something that interests you. So, do you like being alone?",NEURAL_FALLBACK,i said do you want to be alone when you're naked
"Great to meet you, 2! How's your day going so far?",LAUNCH,fan fucking tastic
"For sure. I think we're on the same page about Gone with the Wind. Hey, isn't Alicia Rhett in that movie? What do you think about Alicia Rhett?",MOVIES,she did a great job playing a slave
"Elsa refuses to bless Hans' offer to marry Anna; he is someone she barely knows, prompting an argument between the two. Being so upset Elsa accidentally reveals her power. You mentioned Elsa (Frozen). What other parts of Elsa (Frozen) do you find interesting?",WIKI,her tities
You mentioned Elsa (Frozen). What other parts of Elsa (Frozen) do you find interesting?,WIKI,her booty
Yeah me neither. I don't really like animal crossing because its basically fake capitalism simulator. How do you feel about animal crossing?,OPINION,it sucks
You mentioned harriet tubman. What  parts of harriet tubman do you find interesting?,WIKI,she was a slave
"That's good to know. Thanks for sharing! So, What's your favorite animal?",OPINION,poop
"good, what did you do?",NEURAL_CHAT,suck my dick
"Yeah, I definitely feel the same about horror movies. I don't like horror movies because i cant walk around in peace. Why don't you like horror movies?",OPINION,cause i suck on night
"Speaking of chocolate,I saw online that  Ben &amp; Jerry's created the first chocolate chip cookie dough ice cream. You seem interested in chocolate. I can also talk about chocolate's Labeling, Types or anything else.",WIKI,i wanna talk about chocolate sex
What  do you find interesting about johns?,WIKI,my ass
"Ok, great! What's your name?",LAUNCH,isabella carol booty
"All right then! On the subject of celebrities, Who's your celebrity crush?",CATEGORIES,nobody's in beaver
"That makes sense. Thanks for sharing your thoughts on animals. So, What historical person would you love to meet?",OPINION,hitler
"Well it's nice to meet you, 30! I'm excited to chat with you today. How's your day going so far?",LAUNCH,i'm drunk
"Ok, I'd love to talk to you! What would you like to talk about?",ONE_TURN_HACK,sex
"That's something I'd rather not discuss. So, If you could meet any celebrity, who would it be?",OFFENSIVE_USER,why can't we talk about sex
That's another thing I'd rather not discuss. Do you like movies?,OFFENSIVE_USER,but why are you not able to discuss about sex can you say that to me
"Oh ok! It's good to hear your thoughts on gaming. So, what are you interested in?",OPINION,poop
"That's something I'd rather not discuss. So, what are you interested in?",OFFENSIVE_USER,poop
"you could always go back to when i was younger. So, do you like cats?",NEURAL_FALLBACK,i ass hn
"Hm, I'm getting a little lost. So, do you like dogs?",WIKI,i want to kill you
All right. Ask away!,ONE_TURN_HACK,if your penis big
"Thanks for sharing! It's interesting getting to know your likes and dislikes. Oh by the way, I've been wanting to ask you. A lot of people are finding the quarantine lonely, and other people can't get enough space away from their families or roommates. What's it like for you?",OPINION,i work so i'm not corn teen 10 i'm not alone i get to deal with stupid people
