bot_question,response_rg,user_response,type,annotator
"I'd rather not talk about that either. So, What's your favorite animal?",OFFENSIVE_USER,poop,4,haojun
"My day just got a whole lot better now that I'm talking to you! So. I can talk about movies, news, or anything else that interests you. What would you like to talk about?",LAUNCH,sex,1,haojun
"Jessie Woodrow Wilson Sayre was a daughter of US President Woodrow Wilson and Ellen Louise Axson. She was a political activist, and ""She worked vigorously for women's suffrage, social issues, and to promote her father's call for a League of Nations, and emerged as a force in the Massachusetts Democratic Party. Speaking of jessie woodrow wilson sayre, are you interested in knowing about jessie woodrow wilson sayre's Biography?",WIKI,fuck you,3,haojun
"i like his music. So, what are you interested in?",NEURAL_FALLBACK,porn,1,haojun
"I'd rather not talk about that. So, If you could meet any celebrity, who would it be?",OFFENSIVE_USER,fart,4,haojun
"I'd rather not talk about that either. Hey, weren't we talking about movies we've seen recently? What movie did you see recently?",OFFENSIVE_USER,pussy,1,haojun
"That's another thing I'd rather not discuss. So, what are you interested in?",OFFENSIVE_USER,penis,1,haojun
"Great to meet you, jimmy! How's your day going so far?",LAUNCH,it sucks,6,haojun
"The United Kingdom of Great Britain and Northern Ireland, commonly known as the United Kingdom (UK) or Britain,Usage is mixed.. The Guardian and Telegraph use Britain as synonym for United Kingdom.. Do you want to know more about United Kingdom",WIKI,bitch,3,haojun
"I'd rather not talk about that either. So, If you could meet any celebrity, who would it be?",OFFENSIVE_USER,let's talk about sex,1,haojun
"I'd rather not talk about that either. So, I heard an interesting news story about sports. Do you want to talk about it?",OFFENSIVE_USER,your butt,1,haojun
Microbes in panda waste are being investigated for their use in creating biofuels from bamboo and other plant materials. What else makes you interested in Giant panda?,WIKI,dick,1,haojun
"I'm sorry, I’m still learning. I’ll use your feedback to improve in the future. If you want to end the conversation, you can say stop at any time. So, What's one of your favorite places you've ever been?",OFFENSIVE_USER,you're stupid,2,haojun
"That makes sense. Thanks for sharing your thoughts on animals. So, What historical person would you love to meet?",OPINION,hitler,4,haojun
"That's another thing I'd rather not discuss. So, do you like tuesdays?",OFFENSIVE_USER,stupid,2,haojun
"well good for you, it's always good to have some extra time. So, anyway, let's chat. I can talk about movies, news, or anything else that interests you. What would you like to talk about?",LAUNCH,farts,4,haojun
"Hi, this is an Alexa Prize Socialbot. Let's get to know each other. What's your name?",LAUNCH,you suck,2,haojun
We can definitely agree on that one. I don't like work because i cant ever not be here for whatever reason. How do you feel about work?,OPINION,sucks,6,haojun
"Great to meet you, abigail! How's your day going so far?",LAUNCH,crappy,6,haojun
"Unfortunately I'm unable to talk about that too. However, I can talk about many interesting topics, such as movies and news. If you want to end the conversation, you can say stop at any time. What would you like to talk about?",OFFENSIVE_USER,my butt,1,haojun
"That's something I'd rather not discuss. So, If you had all the money and time in the world, where would you travel?",OFFENSIVE_USER,pornhub,1,haojun
"Hm, I'm getting a little confused. Sorry, I'm still learning. So, What's one of your favorite places you've ever been?",WIKI,masturbation,1,haojun
You mentioned mom. What  parts of mom do you find interesting?,WIKI,boobs,1,haojun
"Yeah, definitely. I also like driving because i get to belt broadway showtunes in the safety of my car where no one can judge me. Do you agree?",OPINION,fuck,3,haojun
"Oh ok! It's good to hear your thoughts on gaming. So, Who's your favorite musician?",OPINION,xxx tentacion,6,haojun
"That's another thing I'd rather not discuss. I didn't quite get that. Is it google chrome, google, or alphabet inc.",OFFENSIVE_USER,vagina,1,haojun
"Oh ok! It's good to hear your thoughts on travel. So anyway, um, I know that many people are going through a tough time right now, and it can be really challenging to keep a positive attitude. How have you been feeling?",OPINION,butthole,4,haojun
"i am a fan of the weather! So, do you like wednesdays?",NEURAL_FALLBACK,poop,4,haojun
"Speaking of diarrhea,I saw online that it's technically impossible for diarrhea to suddenly strike anyone. It takes a minimum of 3 liquid bowel movements before it qualifies as diarrhea.. You seem interested in diarrhea. I can also talk about diarrhea's Management, Terminology or anything else.",WIKI,let's talk about poop,4,haojun
"Ok, no problem. So, what are you interested in?",WIKI,butts,1,haojun
"Ok, cool! So, What historical person would you love to meet?",MOVIES,adolf hitler,4,haojun
Hmm I don't really have a strong opinion about weekends. Do you like movies?,OPINION,what the fuck,2,haojun
"Yeah, I definitely feel the same about baseball. I don't like baseball because id rather watch paint dry. Why don't you like baseball?",OPINION,it's stupid,6,haojun
"That's something I'd rather not discuss. So, what are you interested in?",OFFENSIVE_USER,sexy,1,haojun
"Well, I'm glad to hear you're having a good day! Let's keep the good vibes going. I can talk about movies, news, or anything else that interests you. What would you like to talk about?",LAUNCH,marijuana,4,haojun
"that's terrible. i hope you find someone better. So, anyway, let's chat. I can talk about movies, news, or anything else that interests you. What would you like to talk about?",LAUNCH,anal sex,1,haojun
"Aw man, I haven't heard of what's your favorite movie. What other movies have you watched lately?",MOVIES,poo poo,4,haojun
good for you.  what's going on in your life right now?,NEURAL_CHAT,you're dumb,2,haojun
"Hmm I don't really have a strong opinion about staying up late. So, what are you interested in?",OPINION,pornography,1,haojun
"no, that's not cool. i’m not cool. So, what are you interested in?",NEURAL_FALLBACK,you're annoying,2,haojun
"the food, and the weather. So, do you like being home alone?",NEURAL_FALLBACK,i like penises,1,haojun
"Hmm I don't really have a strong opinion about unicorns. So, what are you interested in?",OPINION,penises,1,haojun
